condition,method,status,metric,mean,std_population,std_sample,n
aniso_k3,A,complete,radial_w1,0.035853048165639244,9.292506642078214e-09,1.138094985225757e-08,3
aniso_k3,A,complete,sample_time_s,0.19195741415023804,0.006245968888149115,0.007649718362632054,3
aniso_k3,A,complete,sliced_w1,0.04692881057659785,0.001869119134347326,0.002289194073811774,3
aniso_k3,A,complete,tail_exc_95,0.00040000006556506484,0.0,0.0,3
aniso_k3,A,complete,tail_exc_99,0.003100000098347655,0.0,0.0,3
aniso_k3,A,complete,total_train_time_s,28.6249133720994,1.9513888131317536,2.3899534409740353,3
aniso_k3,B,complete,angular_sw_bin0,0.009428884213169416,0.000819251903354649,0.001003374567011404,3
aniso_k3,B,complete,angular_sw_bin1,0.008004302779833475,0.00023281619333130352,0.00028514043875942666,3
aniso_k3,B,complete,angular_sw_bin2,0.00788117852061987,3.131479704414943e-05,3.83526370784905e-05,3
aniso_k3,B,complete,angular_sw_bin3,0.009050946372250715,0.0006183823914809067,0.0007573606625251064,3
aniso_k3,B,complete,angular_sw_mean,0.008591327971468369,0.00010406835768160498,0.00012745718734469118,3
aniso_k3,B,complete,exploding_norm_rate,0.0,0.0,0.0,3
aniso_k3,B,complete,inf_rate,0.0,0.0,0.0,3
aniso_k3,B,complete,invalid_rate,0.0,0.0,0.0,3
aniso_k3,B,complete,ks_stat,0.015500009059906006,0.0,0.0,3
aniso_k3,B,complete,mmd,0.00021497408548990885,3.104852167862679e-05,3.802651769018873e-05,3
aniso_k3,B,complete,nan_rate,0.0,0.0,0.0,3
aniso_k3,B,complete,nfe,512,0.0,0.0,3
aniso_k3,B,complete,q950_err,7.16107635940751e-05,1.0027021097686547e-07,1.2280542664726862e-07,3
aniso_k3,B,complete,q990_err,0.011286122740510286,8.138892115671602e-08,9.968066377478235e-08,3
aniso_k3,B,complete,q995_err,0.0180618671130738,2.9720769978384462e-08,3.640036060483548e-08,3
aniso_k3,B,complete,radial_w1,0.03585304940740267,7.654743893654367e-09,9.375108325569269e-09,3
aniso_k3,B,complete,sample_time_s,0.2900252789258957,0.007792401279664085,0.009543703503093843,3
aniso_k3,B,complete,sliced_w1,0.04905626798669497,0.0037226067288085906,0.0045592434993161415,3
