condition,method,seed,status,metric,value,result_path
aniso_k1,B,65457,complete,q950_err,0.0032144983328183255,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,B,65457,complete,q990_err,0.0008872761369133125,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,B,65457,complete,q995_err,0.0030267511836484843,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,B,65457,complete,radial_w1,0.01235888246446848,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,B,65457,complete,sample_time_s,0.28191524744033813,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,B,65457,complete,sliced_w1,0.021686231717467308,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,B,65457,complete,tail_exc_95,0.002500000596046492,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,B,65457,complete,tail_exc_99,0.0002000003680586726,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,B,65457,complete,total_train_time_s,29.091994874179363,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/B/seed_65457/result.json
aniso_k1,C,8925,complete,angular_sw_bin0,0.008015885017812252,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/C/seed_8925/result.json
aniso_k1,C,8925,complete,angular_sw_bin1,0.007952597923576832,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/C/seed_8925/result.json
aniso_k1,C,8925,complete,angular_sw_bin2,0.0077474843710660934,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/C/seed_8925/result.json
aniso_k1,C,8925,complete,angular_sw_bin3,0.008242249488830566,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/C/seed_8925/result.json
aniso_k1,C,8925,complete,angular_sw_mean,0.007989554200321436,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/C/seed_8925/result.json
aniso_k1,C,8925,complete,exploding_norm_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/C/seed_8925/result.json
aniso_k1,C,8925,complete,inf_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/C/seed_8925/result.json
aniso_k1,C,8925,complete,invalid_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/C/seed_8925/result.json
aniso_k1,C,8925,complete,ks_stat,0.010100007057189941,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/C/seed_8925/result.json
aniso_k1,C,8925,complete,mmd,0.00011909008026123047,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/C/seed_8925/result.json
